Disease,Num disease genes,LCC_size,Density,Disgenes Percentage,Disgenes Longpath,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
Psoriasis,57,21,0.12857142857142856,0.3684210526315789,-1,"('heat_diffusion', 0.09)","('heat_diffusion', 0.03)","('draw', 0.0)","('pdiamond', 0.02)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.02)","('pdiamond', 0.03)"
Liver carcinoma,507,395,0.02990426010409304,0.7790927021696252,-1,"('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.02)","('heat_diffusion', 0.01)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)"
"Liver Cirrhosis, Experimental",774,614,0.01028742075869728,0.7932816537467701,-1,"('draw', 0.0)","('heat_diffusion', 0.01)","('heat_diffusion', 0.01)","('heat_diffusion', 0.03)","('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.01)","('pdiamond', 0.02)"
"Diabetes Mellitus, Non-Insulin-Dependent",221,91,0.03418803418803419,0.4117647058823529,-1,"('heat_diffusion', 0.01)","('heat_diffusion', 0.02)","('heat_diffusion', 0.03)","('heat_diffusion', 0.04)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)"
Papillary Renal Cell Carcinoma,128,72,0.05712050078247261,0.5625,-1,"('pdiamond', 0.02)","('draw', 0.0)","('pdiamond', 0.02)","('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.03)","('pdiamond', 0.05)","('pdiamond', 0.06)"
Malignant neoplasm of ovary,137,108,0.07857390100380754,0.7883211678832117,-1,"('pdiamond', 0.03)","('pdiamond', 0.04)","('pdiamond', 0.07)","('pdiamond', 0.05)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.02)"
Steatohepatitis,88,37,0.07807807807807808,0.42045454545454547,-1,"('pdiamond', 0.05)","('pdiamond', 0.03)","('pdiamond', 0.01)","('pdiamond', 0.05)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.03)","('pdiamond', 0.02)"
Disproportionate short stature,77,13,0.21794871794871795,0.16883116883116883,-1,"('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.03)","('heat_diffusion', 0.02)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.11)","('pdiamond', 0.11)"
Stomach Neoplasms,297,247,0.036075178565550835,0.8316498316498316,-1,"('draw', 0.0)","('draw', 0.0)","('heat_diffusion', 0.01)","('pdiamond', 0.01)","('draw', 0.0)","('heat_diffusion', 0.01)","('heat_diffusion', 0.01)","('heat_diffusion', 0.03)"
Pneumonitis,54,11,0.2,0.2037037037037037,-1,"('pdiamond', 0.08)","('heat_diffusion', 0.02)","('pdiamond', 0.08)","('pdiamond', 0.09)","('heat_diffusion', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.02)"
